old_component,old_name,new_name

antenna_properties,battery_life,antennas.battery_life
antenna_properties,capacity,antennas.capacity
antenna_properties,radius,antennas.radius
antenna_properties,connected_people,antennas.connected_people

point_properties,position_x,geometry.x
point_properties,position_y,geometry.y
point_properties,position_z,geometry.z
,,
connection_properties,from_id,connection.from_id
connection_properties,from_ids,connection.from_ids
connection_properties,to_id,connection.to_id
connection_properties,to_ids,connection.to_ids
connection_properties,from_dataset,connection.from_dataset
connection_properties,from_dataset_type,connection.from_dataset_type
connection_properties,to_dataset_type,connection.to_dataset_type
connection_properties,to_dataset,connection.to_dataset
connection_properties,to_label,connection.to_label
connection_properties,from_reference,connection.from_reference
connection_properties,to_reference,connection.to_reference
connection_properties,to_references,connection.to_references
,,
line_properties,from_node_connected,topology.from_node_connected
line_properties,from_node_id,topology.from_node_id
line_properties,to_node_connected,topology.to_node_connected
line_properties,to_node_id,topology.to_node_id
line_properties,length,shape.length
,,
shape_properties,linestring_2d,geometry.linestring_2d
shape_properties,linestring_3d,geometry.linestring_3d
shape_properties,polygon,geometry.polygon
shape_properties,area,shape.area
,,
aggregated_urban_properties,households,urban.households
aggregated_urban_properties,industries,urban.industries
aggregated_urban_properties,offices,urban.offices
aggregated_urban_properties,people,urban.people
aggregated_urban_properties,shops,urban.shops
aggregated_urban_properties,residential_property_monetary_value,urban.residential_property_monetary_value
aggregated_urban_properties,businesses,urban.businesses
,,
electrical_transformer_properties,clock_connection,electrical.clock_connection
electrical_transformer_properties,i_at_null_load,electrical.i_at_null_load
electrical_transformer_properties,p_at_null_load,electrical.p_at_null_load
electrical_transformer_properties,phase_shift,electrical.phase_shift
electrical_transformer_properties,pk,electrical.pk
electrical_transformer_properties,sn,electrical.sn
electrical_transformer_properties,tap_max,electrical.tap_max
electrical_transformer_properties,tap_min,electrical.tap_min
electrical_transformer_properties,tap_nom,electrical.tap_nom
electrical_transformer_properties,tap_pos,electrical.tap_pos
electrical_transformer_properties,tap_side,electrical.tap_side
electrical_transformer_properties,tap_size,electrical.tap_size
electrical_transformer_properties,u_from,electrical.u_from
electrical_transformer_properties,u_to,electrical.u_to
electrical_transformer_properties,uk,electrical.uk
,,
electrical_special_transformer_properties,pk_min,electrical.pk_min
electrical_special_transformer_properties,pk_max,electrical.pk_max
electrical_special_transformer_properties,uk_min,electrical.uk_min
electrical_special_transformer_properties,uk_max,electrical.uk_max
,,
oneside_element_properties,node_connected,topology.node_connected
oneside_element_properties,node_id,topology.node_id
,,
electrical_constant_power_appliance_properties,p,electrical.p
electrical_constant_power_appliance_properties,q,electrical.q
electrical_constant_power_appliance_properties,p_asymmetric,electrical.p_asymmetric
electrical_constant_power_appliance_properties,q_asymmetric,electrical.q_asymmetric
,,
electrical_source_properties,u_ref,electrical.u_ref
,,
electrical_constant_impedance_appliance_properties,b_pos,electrical.b_pos
electrical_constant_impedance_appliance_properties,g_pos,electrical.g_pos
electrical_constant_impedance_appliance_properties,b_zero,electrical.b_zero
electrical_constant_impedance_appliance_properties,g_zero,electrical.g_zero
,,
electrical_protection_properties,pick_up_time,electrical.pick_up_time
,,
electrical_remote_node_protection_properties,protected_line,electrical.protected_line
electrical_remote_node_protection_properties,protected_node,electrical.protected_node
,,
electrical_branch_protection_properties,pick_up_current,electrical.pick_up_current
electrical_branch_protection_properties,protected_line,electrical.protected_line
electrical_branch_protection_properties,protected_side,electrical.protected_side
,,
electrical_appliance_protection_properties,pick_up_current,electrical.pick_up_current
electrical_appliance_protection_properties,protected_appliance,electrical.protected_appliance
,,
electrical_appliance_properties,i,electrical.i
electrical_appliance_properties,p,electrical.p
electrical_appliance_properties,pf,electrical.pf
electrical_appliance_properties,q,electrical.q
electrical_appliance_properties,s,electrical.s
electrical_appliance_properties,i_asymmetric,electrical.i_asymmetric
electrical_appliance_properties,p_asymmetric,electrical.p_asymmetric
electrical_appliance_properties,pf_asymmetric,electrical.pf_asymmetric
electrical_appliance_properties,q_asymmetric,electrical.q_asymmetric
electrical_appliance_properties,s_asymmetric,electrical.s_asymmetric
,,
electrical_node_properties,u,electrical.u
electrical_node_properties,u_angle,electrical.u_angle
electrical_node_properties,u_pu,electrical.u_pu
electrical_node_properties,grounded,electrical.grounded
electrical_node_properties,u_rated,electrical.u_rated
electrical_node_properties,u_angle_asymmetric,electrical.u_angle_asymmetric
electrical_node_properties,u_asymmetric,electrical.u_asymmetric
electrical_node_properties,u_pu_asymmetric,electrical.u_pu_asymmetric
,,
electrical_generator_properties,sn,electrical.sn
electrical_generator_properties,is_control_scheme_u_ref,electrical.is_control_scheme_u_ref
electrical_generator_properties,cos_phi,electrical.cos_phi
electrical_generator_properties,u_ref,electrical.u_ref
,,
operation_status_properties,active,operational.active
operation_status_properties,is_working_properly,operational.is_working_properly
operation_status_properties,has_power,operational.has_power
operation_status_properties,capacity,operational.capacity
,,
electrical_line_properties,loading,electrical.loading
electrical_line_properties,i_from,electrical.i_from
electrical_line_properties,i_to,electrical.i_to
electrical_line_properties,p_from,electrical.p_from
electrical_line_properties,p_to,electrical.p_to
electrical_line_properties,q_from,electrical.q_from
electrical_line_properties,q_to,electrical.q_to
electrical_line_properties,s_from,electrical.s_from
electrical_line_properties,s_to,electrical.s_to
electrical_line_properties,i_from_asymmetric,electrical.i_from_asymmetric
electrical_line_properties,i_to_asymmetric,electrical.i_to_asymmetric
electrical_line_properties,p_from_asymmetric,electrical.p_from_asymmetric
electrical_line_properties,p_to_asymmetric,electrical.p_to_asymmetric
electrical_line_properties,q_from_asymmetric,electrical.q_from_asymmetric
electrical_line_properties,q_to_asymmetric,electrical.q_to_asymmetric
electrical_line_properties,s_from_asymmetric,electrical.s_from_asymmetric
electrical_line_properties,s_to_asymmetric,electrical.s_to_asymmetric
,,
electrical_cable_properties,c_pos,electrical.c_pos
electrical_cable_properties,i_rated,electrical.i_rated
electrical_cable_properties,r_pos,electrical.r_pos
electrical_cable_properties,x_pos,electrical.x_pos
electrical_cable_properties,c_zero,electrical.c_zero
electrical_cable_properties,r_zero,electrical.r_zero
